id,y_2013,y_2014,y_2015,y_2016,y_2017
100100-1,40,62,102,127,82
100200-1,158,178,161,142,135
100200-2,281,280,307,240,188
100300-1,341,309,259,310,393
100300-2,435,505,550,548,476
100300-3,575,593,486,551,459
100400-1,385,420,475,430,372
100400-2,265,314,239,292,285
100500-1,322,255,268,301,341
100500-2,331,332,321,273,167
100500-3,569,781,701,592,629
100601-1,563,556,512,529,524
100602-1,244,189,193,205,153
100602-2,525,460,483,455,449
100700-1,98,111,113,150,132
100700-2,212,219,173,180,188
100800-1,209,240,270,264,275
100800-2,151,185,177,138,127
100900-1,222,263,184,167,150
100900-2,240,243,289,309,373
101001-1,322,322,282,344,321
101001-2,812,793,799,795,741
101002-1,357,331,343,327,349
101002-2,458,435,451,435,462
101101-1,616,626,666,635,725
101102-1,221,193,327,276,285
101102-2,662,679,545,614,550
101102-3,578,548,601,531,556
101102-4,515,492,458,476,443
101103-1,765,738,718,732,684
101201-1,663,696,741,594,608
101202-1,352,418,397,434,470
101202-2,623,633,661,705,688
101303-1,376,528,612,574,607
101303-2,505,518,652,746,746
101303-3,1430,1761,1810,1644,1726
101304-1,755,733,731,702,693
101304-2,378,399,441,487,509
101304-3,404,345,377,340,241
101305-1,954,926,984,1147,1312
101306-1,379,420,455,362,407
101306-2,618,629,619,687,654
101306-3,407,371,544,464,447
101307-1,633,605,654,669,649
101400-1,0,0,0,0,0
101400-2,367,333,304,260,257
101400-3,1102,1199,1226,1204,1226
101500-1,302,307,360,284,277
101500-2,901,819,845,798,832
101500-3,372,440,426,570,543
101500-4,507,510,446,493,453
101600-1,720,715,694,724,801
101600-2,273,256,281,349,423
101600-3,462,481,479,444,423
101700-1,354,282,308,297,371
101700-2,568,592,677,758,739
101700-3,415,305,332,302,285
101700-4,500,510,494,439,429
101700-5,408,529,534,457,510
101802-1,1047,1112,1093,1072,1096
101802-2,445,400,450,571,644
101802-3,378,413,359,375,361
101802-4,785,689,759,705,676
101803-1,1523,1491,1394,1400,1488
101803-2,277,283,250,359,328
101804-1,969,927,800,875,978
101804-2,1010,1058,1003,943,893
101902-1,816,767,771,724,667
101903-1,1023,1089,1046,1191,1289
101903-2,819,771,874,974,896
101903-3,375,321,350,250,280
101904-1,703,737,870,964,1032
102001-1,905,926,715,634,631
102001-2,419,442,490,688,705
102002-1,449,480,472,442,438
102002-2,394,436,473,460,467
102002-3,1178,1102,1247,1247,1328
102003-1,1465,1558,1560,1701,1745
102004-1,1343,1333,1324,1404,1457
102005-1,700,782,696,568,668
102005-2,22,19,13,49,63
102005-3,144,175,223,264,269
102005-4,241,385,294,276,337
102006-1,1567,1780,1793,2050,2318
980100-1,0,0,0,0,0
